"Subfamily","Tribe","Genus","Species","Taxon","FL","GA","SpeciesGroup","Binomial","BinomialAuthority","Subspecies","Trinomial","TrinomialAuthority","Author","Year","ChangedComb","TypeLocalityCountry","Images","Text","Source","DBB_Notes","MPN_Notes","NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","GB"
"Formicinae","Formicini","Polyergus","lucidus","Polyergus lucidus",0,1,"lucidus",NA,"Mayr, 1870","Mayr",1870,"","United States","Present","Present","http://www.antwiki.org/wiki/Polyergus lucidus",NA,NA,NA,"",NA,615968,NA,NA,NA,NA,NA,"MH645543",NA,NA,NA,NA,NA,NA,1
"Formicinae","Formicini","Polyergus","oligergus","Polyergus oligergus",1,0,"lucidus",NA,"Trager, 2013","Trager",2013,"","United States","Present","Present","http://www.antwiki.org/wiki/Polyergus oligergus",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Formicini","Polyergus","ruber","Polyergus ruber",0,1,"lucidus",NA,"Trager, 2013","Trager",2013,"","United States","Present","Present","http://www.antwiki.org/wiki/Polyergus ruber",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Lasiini","Lasius","alienus","Lasius alienus",1,1,"",NA,"(Foerster, 1850)","Foerster",1850,"Yes","Germany","Present","Present","http://www.antwiki.org/wiki/Lasius alienus",NA,NA,NA,"",NA,219781,"DQ353484","DQ353683","DQ352952","LT977308","KC820381","FJ824425",NA,NA,"FJ824369",NA,"LT977250",NA,1
"Formicinae","Lasiini","Lasius","claviger","Lasius claviger",0,1,"",NA,"(Roger, 1862)","Roger",1862,"Yes","United States","Present","","http://www.antwiki.org/wiki/Lasius claviger",NA,NA,NA,"",NA,611227,NA,NA,NA,NA,NA,"KR888623",NA,NA,NA,NA,NA,NA,1
"Formicinae","Lasiini","Lasius","flavus","Lasius flavus",0,1,"",NA,"(Fabricius, 1782)","Fabricius",1782,"Yes","Europe","Present","Present","http://www.antwiki.org/wiki/Lasius flavus",NA,NA,NA,"",NA,67763,NA,NA,NA,"LT977316",NA,"AB370985",NA,NA,NA,NA,"LT977243",NA,1
"Formicinae","Lasiini","Lasius","interjectus","Lasius interjectus",1,1,"",NA,"Mayr, 1866","Mayr",1866,"","United States","Present","Present","http://www.antwiki.org/wiki/Lasius interjectus",NA,NA,NA,"",NA,488573,NA,NA,NA,NA,NA,"AB370986",NA,NA,NA,NA,NA,NA,1
"Formicinae","Lasiini","Lasius","murphyi","Lasius murphyi",0,1,"",NA,"Forel, 1901","Forel",1901,"","United States","Present","Present","http://www.antwiki.org/wiki/Lasius murphyi",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Lasiini","Lasius","nearcticus","Lasius nearcticus",0,1,"",NA,"Wheeler, W.M., 1906","Wheeler, W.M.",1906,"","United States","Present","Present","http://www.antwiki.org/wiki/Lasius nearcticus",NA,NA,NA,"",NA,488575,NA,NA,NA,"LT977321",NA,"AB370987",NA,NA,NA,NA,"LT977232",NA,1
"Formicinae","Lasiini","Lasius","neoniger","Lasius neoniger",1,1,"",NA,"Emery, 1893","Emery",1893,"","United States","Present","Present","http://www.antwiki.org/wiki/Lasius neoniger",NA,NA,NA,"",NA,611257,NA,NA,NA,"LT977327",NA,"KR883948",NA,NA,NA,NA,"LT977231",NA,1
"Formicinae","Lasiini","Lasius","subglaber","Lasius subglaber",0,1,"",NA,"Emery, 1893","Emery",1893,"","United States","Present","","http://www.antwiki.org/wiki/Lasius subglaber",NA,NA,NA,"not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Formicinae","Lasiini","Lasius","umbratus","Lasius umbratus",1,1,"",NA,"(Nylander, 1846)","Nylander",1846,"Yes","Finland","Present","Present","http://www.antwiki.org/wiki/Lasius umbratus",NA,NA,NA,"",NA,262031,NA,NA,NA,"LT977318",NA,"EF191428",NA,NA,NA,NA,"LT977247",NA,1
"Formicinae","Lasiini","Nylanderia","arenivaga","Nylanderia arenivaga",1,1,"",NA,"(Wheeler, W.M., 1905)","Wheeler, W.M.",1905,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia arenivaga",NA,NA,NA,"",NA,262033,NA,NA,NA,"JX425976",NA,NA,"JX426003","JX425950","JX425895","JX425921",NA,NA,1
"Formicinae","Lasiini","Nylanderia","bourbonica","Nylanderia bourbonica",1,1,"",NA,"(Forel, 1886)","Forel",1886,"Yes","R√©union","Present","Present","http://www.antwiki.org/wiki/Nylanderia bourbonica",NA,NA,NA,"",NA,262034,NA,"EU490452",NA,"KP232898","KP232678","KP232102","JX426023","KP232642","JX425912","KP231876",NA,NA,1
"Formicinae","Lasiini","Nylanderia","concinna","Nylanderia concinna",1,1,"",NA,"(Trager, 1984)","Trager",1984,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia concinna",NA,NA,NA,"",NA,613892,NA,NA,NA,"FJ982531",NA,"FJ982447","FJ982493","FJ982573",NA,"FJ982616",NA,NA,1
"Formicinae","Lasiini","Nylanderia","faisonensis","Nylanderia faisonensis",1,1,"",NA,"(Forel, 1922)","Forel",1922,"Yes","United States","Present","Present","http://www.antwiki.org/wiki/Nylanderia faisonensis",NA,NA,NA,"",NA,613901,NA,NA,NA,"FJ982534",NA,"FJ982450","FJ982496","FJ982576",NA,"FJ982619",NA,NA,1
