"NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family"
"609446",NA,NA,NA,NA,NA,"JQ913597",NA,NA,NA,NA,NA,NA,"Dolichoderus sibiricus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609455",NA,NA,NA,NA,NA,"JQ913592",NA,NA,NA,NA,NA,NA,"Dolichoderus taprobanae","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609460",NA,NA,NA,NA,NA,"KR933105",NA,NA,NA,NA,NA,NA,"Dolichoderus taschenbergi","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609461",NA,NA,NA,NA,NA,"JQ913595",NA,NA,NA,NA,NA,NA,"Dolichoderus thoracicus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"609469",NA,NA,NA,NA,"KU232992","KU187251",NA,NA,NA,NA,NA,NA,"Dolichoderus voraginosus","Dolichoderus",NA,"Dolichoderinae","Formicidae"
"411748","EF012862","EF012990","EF013118","EF013698","EF013570","HQ207389","EF013257","EF013419","FJ939861","FJ939915",NA,NA,"Dorymyrmex bicolor","Dorymyrmex",NA,"Dolichoderinae","Formicidae"
"609524",NA,NA,NA,NA,NA,"MF925937",NA,NA,NA,NA,NA,NA,"Dorymyrmex brunneus","Dorymyrmex",NA,"Dolichoderinae","Formicidae"
"369126","DQ353499","DQ353633","DQ352955","DQ353062","DQ353155","DQ353369",NA,NA,NA,NA,NA,NA,"Dorymyrmex elegans","Dorymyrmex",NA,"Dolichoderinae","Formicidae"
"609551",NA,NA,NA,NA,NA,"KM538013",NA,NA,NA,NA,NA,NA,"Dorymyrmex grandulus","Dorymyrmex",NA,"Dolichoderinae","Formicidae"
"609565","FJ939761","FJ939793","FJ939825","FJ940029","FJ939996",NA,"FJ940061","FJ939964","FJ939862","FJ939916",NA,NA,"Dorymyrmex planidens","Dorymyrmex",NA,"Dolichoderinae","Formicidae"
"121505","FJ939762","FJ939794","FJ939826","FJ940030","FJ939997",NA,"FJ940062","FJ939965","FJ939863","FJ939917",NA,NA,"Forelius chalybaeus","Forelius",NA,"Dolichoderinae","Formicidae"
"411751","EF012866","EF012994","EF013122","EF013702","EF013574","HQ207390","EF013262","EF013424","FJ939864","FJ939918",NA,NA,"Forelius pruinosus","Forelius",NA,"Dolichoderinae","Formicidae"
"609918","FJ939763","FJ939795","FJ939827","FJ940031","FJ939998",NA,"FJ940063","FJ939966","FJ939865","FJ939919",NA,NA,"Froggattella kirbii","Froggattella",NA,"Dolichoderinae","Formicidae"
